	rtt	tmp	targetedvscwnd	diff	average	output
307	0.0223418	0.984948	0.984687	36	0.0223418	0
308	0.0223418	0.984948	0.984694	36	0.0223418	0
309	0.0223418	0.984948	0.984694	36	0.0223418	0
310	0.0223418	0.984948	0.9847	36	0.0223418	0
311	0.0223418	0.984948	0.9847	36	0.0223418	0
312	0.0223418	0.984948	0.984707	36	0.0223418	0
313	0.0223418	0.984948	0.984707	36	0.0223418	0
314	0.0223418	0.984948	0.984707	36	0.0223418	0
315	0.0223418	0.984948	0.984713	36	0.0223418	0
316	0.0223418	0.984948	0.984713	36	0.0223418	0
317	0.0223418	0.984948	0.98472	36	0.0223418	0
318	0.0223418	0.984948	0.98472	36	0.0223418	0
319	0.0223418	0.984948	0.984726	36	0.0223418	0
320	0.0223418	0.984948	0.984726	36	0.0223418	0
321	0.0223418	0.984948	0.984726	36	0.0223418	0
322	0.0223418	0.984948	0.984733	36	0.0223418	0
323	0.0223418	0.984948	0.984733	36	0.0223418	0
324	0.0223418	0.984948	0.984739	36	0.0223418	0
325	0.0223418	0.984948	0.984739	36	0.0223418	0
326	0.0223418	0.984948	0.984746	36	0.0223418	0
327	0.0223418	0.984948	0.984746	36	0.0223418	0
328	0.0223418	0.984948	0.984752	36	0.0223418	0
329	0.0223418	0.984948	0.984752	36	0.0223418	0
330	0.0223418	0.984948	0.984752	36	0.0223418	0
331	0.0223418	0.984948	0.984759	36	0.0223418	0
332	0.0223418	0.984948	0.984759	36	0.0223418	0
333	0.0223418	0.984948	0.984765	36	0.0223418	0
334	0.0223418	0.984948	0.984765	36	0.0223418	0
335	0.0223418	0.984948	0.984772	36	0.0223418	0
336	0.0223418	0.984948	0.984772	36	0.0223418	0
337	0.0223418	0.984948	0.984772	36	0.0223418	0
338	0.0223418	0.984948	0.984778	36	0.0223418	0
339	0.0223418	0.984948	0.984778	36	0.0223418	0
340	0.0223418	0.984948	0.984784	36	0.0223418	0
341	0.0223418	0.984948	0.984784	36	0.0223418	0
342	0.0223418	0.984948	0.984784	36	0.0223418	0
343	0.0223418	0.984948	0.984784	36	0.0223418	0
344	0.0223418	0.984948	0.984791	36	0.0223418	0
345	0.0223418	0.984948	0.984791	36	0.0223418	0
346	0.0223418	0.984948	0.984791	36	0.0223418	0
